"","GSM230349","GSM230350","GSM230351","GSM230352","GSM230353","GSM230354","GSM230355","GSM230356","GSM230357","GSM230358","GSM230359","GSM230360"
"AANAT",2.01258012051529,2.20633571862874,2.28251083395153,2.13562202672729,2.14104643587795,2.29112012651045,2.21698292741744,2.1243694000982,2.28763156698239,2.0089212141436,2.08601747323517,2.03425805746975
"AAR2",5.62347034875309,5.51941026229894,5.63259196597798,5.80105374409577,5.79557296069395,5.71232387201822,5.67133332557868,5.75878510676166,5.74198848378824,5.85600270972202,5.80079438986733,5.67972032834725
"AARS1",8.91459374150132,8.85677569773768,8.90511514903674,8.97131512049593,8.80199020176489,8.68532207818038,8.88556092918805,8.81578445758106,8.70830763005932,8.87619380369097,8.96447233800591,8.88722859293926
"AARS2",5.22949215851714,5.09470474228171,5.08581857674162,5.19228364914612,5.11705260761449,5.18701187397692,5.12881874635809,4.92552114191851,5.04133509998027,5.27094581345708,5.20530521857243,5.44392209584917
"AARSD1",4.54280739749001,4.46827065565055,4.45909781906369,4.33763875124248,4.45012556964635,3.91422263755853,4.19380296899392,3.81649557065653,4.18417398687467,4.43078180720695,3.93148039131635,4.20068846297368
"AASDH",5.98779584629782,6.0976788424805,6.08408398083142,5.9813171532754,6.13130162518132,5.89140359875148,5.99949389382,5.91830090647882,5.78097100309392,6.28709046922931,6.19447419643481,5.94535698385519
"AASDHPPT",6.46189470914479,6.35808221976949,6.32964097776067,6.22534258323242,6.38109422190985,6.36901019036731,6.39022392303789,6.37290406370869,6.31422159229394,6.32032494867692,6.322111419838,6.37042219905238
"AASS",2.43835950677005,2.34314293571874,2.33478880622527,2.41777723013882,2.59827805626071,2.52196388853013,2.33535271283211,2.70743965784558,2.27952103442426,2.50301508839928,2.54469807242524,2.84973413126095
"AATBC",3.28315499182418,3.2583779891631,3.41201494278123,3.72177504510135,3.55236221159857,3.38089079286763,3.44384520170525,3.76482086252583,3.39435132500431,3.50349691052476,3.39711525625238,3.6658824225898
"AATF",7.51723278882448,7.1853682008382,7.34043805825087,7.17413193812515,7.07148468037949,7.08480261842103,7.20535159051988,7.09696719151867,7.19531413773069,7.40374435670826,7.29670788791949,7.12696032211365
"AATK",5.11425084889504,4.672578072205,5.09687280702898,5.10230189613973,5.39809724817975,5.32223104644878,5.17907936390799,5.40085303231913,5.34765935855285,5.47200265124813,5.18655146327631,5.40838776794927
