tau,pi0,effect_size,method,bFDR,FDR,Power
0.3,0.8,2.0,Data-driven,0.07,0.05950432900432901,0.04775000000000003
0.3,0.8,2.0,Weighted,0.09,0.0766605339105339,0.075
0.3,0.8,2.0,E-weighted,0.07,0.07270670995670994,0.08849999999999998
0.3,0.8,3.5,t-test,0.05,0.029844590722027622,0.4832499999999999
0.3,0.8,3.5,Oracle,0.11,0.02303726155241524,0.6597500000000003
0.3,0.8,3.5,Data-driven,0.04,0.009665581588619899,0.5045000000000001
0.3,0.8,3.5,Weighted,0.07,0.022261573954092184,0.5704999999999999
0.3,0.8,3.5,E-weighted,0.07,0.026417275608898477,0.613
0.3,0.8,5.0,t-test,0.06,0.020690704235586325,0.8044999999999999
0.3,0.8,5.0,Oracle,0.09,0.006825857099605497,0.9415000000000002
0.3,0.8,5.0,Data-driven,0.01,0.0008183183183183184,0.7885000000000002
0.3,0.8,5.0,Weighted,0.07,0.008741473693679579,0.8587499999999999
0.3,0.8,5.0,E-weighted,0.1,0.01264722956091981,0.8855
0.3,0.8,6.5,t-test,0.08,0.008414171823484601,0.9190000000000002
0.3,0.8,6.5,Oracle,0.11,0.002945434646654159,0.9944999999999996
0.3,0.8,6.5,Data-driven,0.0,0.0,0.8934999999999995
0.3,0.8,6.5,Weighted,0.02,0.0020134459036898057,0.9560000000000002
0.3,0.8,6.5,E-weighted,0.04,0.0032583111154998196,0.9692500000000003
0.3,0.8,8.0,t-test,0.07,0.005748041539119847,0.9714999999999999
0.3,0.8,8.0,Oracle,0.09,0.002427409988385598,1.0
0.3,0.8,8.0,Data-driven,0.0,0.0,0.9465
0.3,0.8,8.0,Weighted,0.04,0.002719512195121951,0.9864999999999999
0.3,0.8,8.0,E-weighted,0.04,0.003670731707317074,0.9942500000000001
0.3,0.95,2.0,t-test,0.11,0.10166666666666666,0.03600000000000002
0.3,0.95,2.0,Oracle,0.09,0.10333333333333333,0.05799999999999997
0.3,0.95,2.0,Data-driven,0.06,0.06833333333333333,0.05
0.3,0.95,2.0,Weighted,0.08,0.07666666666666667,0.052000000000000005
0.3,0.95,2.0,E-weighted,0.08,0.07666666666666667,0.054000000000000006
0.3,0.95,3.5,t-test,0.08,0.039531746031746036,0.2909999999999999
0.3,0.95,3.5,Oracle,0.09,0.04242929292929293,0.5050000000000001
0.3,0.95,3.5,Data-driven,0.06,0.032214285714285716,0.435
0.3,0.95,3.5,Weighted,0.05,0.043694444444444445,0.40499999999999986
0.3,0.95,3.5,E-weighted,0.06,0.05521825396825397,0.4219999999999999
0.3,0.95,5.0,t-test,0.13,0.03971428571428572,0.6939999999999997
0.3,0.95,5.0,Oracle,0.06,0.010545454545454547,0.903
0.3,0.95,5.0,Data-driven,0.02,0.00402020202020202,0.8309999999999995
0.3,0.95,5.0,Weighted,0.1,0.0259563492063492,0.82
0.3,0.95,5.0,E-weighted,0.11,0.02873412698412698,0.8299999999999998
0.3,0.95,6.5,t-test,0.07,0.026090187590187598,0.8750000000000007
0.3,0.95,6.5,Oracle,0.1,0.010090909090909093,0.9960000000000001
0.3,0.95,6.5,Data-driven,0.01,0.0018181818181818182,0.9230000000000003
0.3,0.95,6.5,Weighted,0.06,0.01615151515151515,0.9480000000000003
0.3,0.95,6.5,E-weighted,0.07,0.01706060606060606,0.9520000000000002
0.3,0.95,8.0,t-test,0.22,0.03549999999999999,0.9520000000000004
0.3,0.95,8.0,Oracle,0.13,0.01452380952380952,1.0
0.3,0.95,8.0,Data-driven,0.0,0.0,0.9630000000000005
0.3,0.95,8.0,Weighted,0.12,0.01806526806526806,0.9900000000000001
0.3,0.95,8.0,E-weighted,0.18,0.02427738927738927,0.9930000000000001
0.3,0.99,2.0,t-test,0.11,0.11,0.03
0.3,0.99,2.0,Oracle,0.07,0.06,0.04
0.3,0.99,2.0,Data-driven,0.08,0.075,0.035
0.3,0.99,2.0,Weighted,0.13,0.125,0.04
0.3,0.99,2.0,E-weighted,0.13,0.125,0.045
